MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
48712;-0.080588;0.000266;0.161060;0.000331;-0.3531590;0.0000209;2.9448;0.0148;-0.220;0.201;-0.019;0.298;-.080900;.159900;-.3533400;-0.315;-0.354
48713;-0.082590;0.000266;0.163154;0.000331;-0.3561467;0.0000184;3.0214;0.0137;-0.244;0.261;-0.047;0.148;-.082800;.161900;-.3563400;-0.368;-0.509
48714;-0.084550;0.000322;0.165074;0.000316;-0.3591813;0.0000177;3.0364;0.0179;-0.133;0.261;-0.097;0.148;-.084600;.163900;-.3593600;-0.407;-0.531
48715;-0.086486;0.000417;0.166845;0.000264;-0.3621965;0.0000307;2.9824;0.0154;0.013;0.327;-0.101;0.187;-.086500;.165900;-.3623500;-0.315;-0.592
48716;-0.088395;0.000265;0.168508;0.000385;-0.3651257;0.0000253;2.8673;0.0192;0.047;0.323;0.007;0.234;-.088200;.167700;-.3652700;-0.238;-0.598
48717;-0.090245;0.000264;0.170130;0.000376;-0.3679179;0.0000230;2.7127;0.0172;-0.017;0.325;0.171;0.256;-.090000;.169600;-.3680400;-0.114;-0.679
48718;-0.092008;0.000347;0.171783;0.000359;-0.3705484;0.0000233;2.5499;0.0171;-0.097;0.284;0.309;0.326;-.091800;.171500;-.3706600;-0.048;-0.777
48719;-0.093700;0.000336;0.173536;0.000324;-0.3730281;0.0000252;2.4183;0.0179;-0.110;0.256;0.350;0.371;-.093500;.173400;-.3731300;-0.041;-0.822
48720;-0.095345;0.000286;0.175441;0.000343;-0.3754104;0.0000272;2.3630;0.0184;-0.034;0.240;0.283;0.316;-.095300;.175300;-.3755200;-0.037;-0.683
48721;-0.096970;0.000279;0.177494;0.000327;-0.3777890;0.0000268;2.4123;0.0203;0.057;0.240;0.105;0.316;-.097000;.177300;-.3779200;-0.077;-0.564
48722;-0.098591;0.000279;0.179670;0.000327;-0.3802685;0.0000301;2.5621;0.0176;0.123;0.187;-0.034;0.330;-.098800;.179300;-.3804300;-0.147;-0.285
48723;-0.100201;0.000260;0.181945;0.000220;-0.3829396;0.0000228;2.7913;0.0212;0.146;0.172;-0.230;0.305;-.100600;.181500;-.3831500;-0.263;-0.003
48724;-0.101803;0.000203;0.184308;0.000152;-0.3858635;0.0000299;3.0578;0.0182;0.130;0.232;-0.469;0.394;-.102300;.183800;-.3861300;-0.403;0.259
48725;-0.103417;0.000230;0.186744;0.000191;-0.3890481;0.0000284;3.3030;0.0207;0.090;0.222;-0.633;0.368;-.104100;.186100;-.3893700;-0.479;0.178
48726;-0.105070;0.000239;0.189236;0.000237;-0.3924448;0.0000285;3.4741;0.0208;0.030;0.186;-0.584;0.331;-.105900;.188500;-.3927900;-0.533;-0.037
48727;-0.106787;0.000240;0.191767;0.000240;-0.3959547;0.0000303;3.5204;0.0211;-0.050;0.186;-0.286;0.331;-.107700;.190800;-.3962800;-0.488;-0.292
